X,Y,OBJECTID,Lic_Type,Lic_No,Lic_App,Status,Iss_Date,Exp_Date,Fee_Code,Dup_Cnt,Master,Term,GeoCode,Off_Code,Name,Site_Addr1,Site_Addr2,Site_City,Site_State,Site_ZIP,DBA_Name,Mail_Addr1,Mail_Addr2,Mail_City,Mail_State,Mail_ZIP,Site_Cnty,Site_Tract,POINT_X,POINT_Y
-117.397198520552976,33.211502995085425,1,51,38922,LIC,ACTIVE,1994-01-01T00:00:00.000Z,2020-02-29T00:00:00.000Z,,,Y,12,3709,,OCEANSIDE YACHT CLUB INC,1950 HARBOR DR N,,OCEANSIDE,CA,92054,OCEANSIDE YACHT CLUB,,,,,,SAN DIEGO,183,6210798.16,2022511.107
-117.397198520552976,33.211502995085425,2,58,38922,LIC,ACTIVE,1994-01-01T00:00:00.000Z,2020-02-29T00:00:00.000Z,,,N,12,3709,,OCEANSIDE YACHT CLUB INC,1950 HARBOR DR N,,OCEANSIDE,CA,92054,OCEANSIDE YACHT CLUB,,,,,,SAN DIEGO,183,6210798.16,2022511.107
-117.396976578815384,33.211739490230819,3,47,518619,APP,ACTIVE,,,,,Y,12,3709,,ALOHA RESTAURANTS INC,1900 HARBOR DR N,,OCEANSIDE,CA,92054-1033,JOLLY ROGER THE,,,,,,SAN DIEGO,183,6210866.985,2022596.405
-117.396976578815384,33.211739490230819,4,47,518619,LIC,ACTIVE,2012-07-31T00:00:00.000Z,2020-05-31T00:00:00.000Z,,,Y,12,3709,,ALOHA RESTAURANTS INC,1900 HARBOR DR N,,OCEANSIDE,CA,92054-1033,JOLLY ROGER THE,,,,,,SAN DIEGO,183,6210866.985,2022596.405
-117.392305082215259,33.204245860485308,5,20,420573,LIC,ACTIVE,2005-01-10T00:00:00.000Z,2019-12-31T00:00:00.000Z,,,Y,12,3709,,OCEANSIDE HARBOR FUEL DOCK & MINI MART INC,1380 N PACIFIC ST,,OCEANSIDE,CA,92054,OCEANSIDE HARBOR FUEL DOCK & MINI MART,,,,,,SAN DIEGO,183,6212265.836,2019854.286
-117.390876437818775,33.207080051531847,6,47,532603,LIC,ACTIVE,2013-08-26T00:00:00.000Z,2019-07-31T00:00:00.000Z,,,Y,12,3709,,WATERFRONT ENTERPRISES INC,1325 HARBOR DR N,,OCEANSIDE,CA,92054,OCEANSIDE BROILER,,,,,,SAN DIEGO,183,6212714.091,2020880.675
-117.390363757080792,33.204043699355573,7,54,560010,LIC,ACTIVE,2015-10-06T00:00:00.000Z,2019-09-30T00:00:00.000Z,,,Y,12,3709,,SAN MATEO GALLEY CO INC,256 HARBOR DR S,SLIP 1,OCEANSIDE,CA,92054-1037,OCEANSIDE ADVENTURES,,,,,,SAN DIEGO,183,6212858.81363344,2019774.2329537
-117.390045256900834,33.204238158995587,8,41,543366,LIC,ACTIVE,2014-05-08T00:00:00.000Z,2020-04-30T00:00:00.000Z,,,Y,12,3709,,LIGHTHOUSE OYSTER BAR & GRILL  INC.,262 HARBOR DR S,STE. 201,OCEANSIDE,CA,92054-1037,LIGHTHOUSE OYSTER BAR & GRILL,,,,,,SAN DIEGO,183,6212957.0053123,2019843.91864144
-117.390045256900834,33.204238158995587,9,20,552365,LIC,ACTIVE,2015-03-17T00:00:00.000Z,2020-02-29T00:00:00.000Z,,,Y,12,3709,,LIGHTHOUSE OYSTER BAR & GRILL  INC.,262 HARBOR DR S STE 102,,OCEANSIDE,CA,92054-1037,LIGHTHOUSE SEAFOOD MARKET THE,,,,,,SAN DIEGO,183,6212957.0053123,2019843.91864144
-117.389809256687684,33.204380318845743,10,41,543686,LIC,ACTIVE,2014-06-06T00:00:00.000Z,2020-05-31T00:00:00.000Z,,,Y,12,3709,,BREAD OF LIFE RESTAURANT  LLC,280 HARBOR DR S,STE A,OCEANSIDE,CA,92054-1037,STRATFORD AT THE HARBOR,,,,,,SAN DIEGO,183,6213029.75477392,2019894.85199376
